GameID,SourceDeckID,TargetDeckID,DamageAmount
G20260801_193000,D001,D002,25
G20260801_193000,D001,D003,18
G20260801_193000,D001,D004,24
G20260801_193000,D002,D001,20
G20260801_193000,D002,D003,14
G20260801_193000,D002,D004,10
G20260801_193000,D003,D001,32
G20260801_193000,D003,D002,33
G20260801_193000,D003,D004,17
G20260801_193000,D004,D001,16
G20260801_193000,D004,D002,14
G20260801_193000,D004,D003,1
G20260803_201500,D001,D002,30
G20260803_201500,D001,D005,31
G20260803_201500,D001,D006,30
G20260803_201500,D002,D001,12
G20260803_201500,D002,D005,15
G20260803_201500,D002,D006,12
G20260803_201500,D005,D001,20
G20260803_201500,D005,D002,21
G20260803_201500,D005,D006,17
G20260803_201500,D006,D001,11
G20260803_201500,D006,D002,15
G20260803_201500,D006,D005,21
G20260806_190000,D003,D004,24
G20260806_190000,D003,D005,21
G20260806_190000,D003,D006,19
G20260806_190000,D004,D003,13
G20260806_190000,D004,D005,9
G20260806_190000,D004,D006,5
G20260806_190000,D005,D003,20
G20260806_190000,D005,D004,12
G20260806_190000,D005,D006,10
G20260806_190000,D006,D003,28
G20260806_190000,D006,D004,28
G20260806_190000,D006,D005,20
G20260807_111803,D001,D002,60
G20260807_111803,D002,D001,29
G20260807_121556,D001,D002,40
