GameID,DeckID,OldELO,NewELO,ELOChange
G20260801_193000,D003,1530,1555,25
G20260801_193000,D001,1515,1520,5
G20260801_193000,D002,1505,1490,-15
G20260801_193000,D004,1460,1445,-15
G20260803_201500,D001,1495,1520,25
G20260803_201500,D005,1500,1510,10
G20260803_201500,D002,1500,1490,-10
G20260803_201500,D006,1495,1480,-15
G20260806_190000,D006,1450,1480,30
G20260806_190000,D003,1545,1555,10
G20260806_190000,D005,1520,1510,-10
G20260806_190000,D004,1465,1445,-20
G20260807_111803,D001,1520,1535,15
G20260807_111803,D002,1490,1475,-15
G20260807_121556,D001,1535,1548,13
G20260807_121556,D002,1475,1462,-13
