GameID,DeckID,Placement,Eliminations,LifeRemaining,DamageDealt,DamageTaken
G20260801_193000,D003,1,2,14,82,51
G20260801_193000,D001,2,1,0,67,68
G20260801_193000,D002,3,0,0,44,72
G20260801_193000,D004,4,0,0,31,33
G20260803_201500,D001,1,2,22,91,43
G20260803_201500,D005,2,1,0,58,70
G20260803_201500,D002,3,0,0,39,66
G20260803_201500,D006,4,0,0,47,56
G20260806_190000,D006,1,2,9,76,49
G20260806_190000,D003,2,1,0,64,61
G20260806_190000,D005,3,0,0,42,59
G20260806_190000,D004,4,0,0,27,40
G20260807_111803,D001,1,1,11,60,29
G20260807_111803,D002,2,0,0,29,60
G20260807_121556,D001,1,1,40,40,0
G20260807_121556,D002,2,0,0,0,40
